Airline,Destination,Total_Stops,day,month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_hours,Duration_minutes,Source_Banglore,Source_Kolkata,Source_Delhi,Source_Chennai,Source_Mumbai,Price
10,4,1,6,6,17,30,4,25,10,55,0,0,1,0,0,11599.751385845058
3,3,1,12,5,6,20,10,20,4,0,0,1,0,0,0,4252.596728670635
10,4,1,21,5,19,15,19,0,23,45,0,0,1,0,0,14667.723945932532
8,4,1,21,5,8,0,21,0,13,0,0,0,1,0,0,11741.598791937236
2,2,0,24,6,23,55,2,45,2,50,1,0,0,0,0,3748.7287524801586
10,4,1,12,6,18,15,12,35,18,20,0,0,1,0,0,10684.63322668651
7,2,1,12,3,7,30,22,35,15,5,1,0,0,0,0,11710.39505332341
3,3,1,1,5,15,15,20,30,5,15,0,1,0,0,0,5697.038019593251
3,3,0,15,3,10,10,12,55,2,45,0,1,0,0,0,4814.893639520201
10,3,1,18,5,16,30,22,35,6,5,0,1,0,0,0,13448.515513392858
10,4,2,21,3,13,55,18,50,28,55,0,0,1,0,0,9442.25455357143
3,4,1,15,6,6,50,16,10,9,20,0,0,1,0,0,6473.721109983764
8,4,1,15,5,9,0,19,15,10,15,0,0,1,0,0,13348.023083288237
10,2,1,12,3,5,45,10,25,4,40,1,0,0,0,0,11989.789569917926
10,4,1,3,6,19,15,12,35,17,20,0,0,1,0,0,12398.952101934525
10,2,1,6,3,21,25,8,15,10,50,1,0,0,0,0,15041.725388144836
8,4,1,6,6,13,15,22,30,9,15,0,0,1,0,0,8797.45430431548
5,3,1,24,3,9,55,22,10,12,15,0,1,0,0,0,11482.428118851632
10,4,1,12,6,19,15,4,25,9,10,0,0,1,0,0,11104.796014948592
10,2,1,12,3,22,55,8,15,9,20,1,0,0,0,0,12616.13206845238
3,4,1,6,3,10,45,1,35,14,50,0,0,1,0,0,13102.559068700397
10,3,1,9,5,20,0,10,5,14,5,0,1,0,0,0,11513.141186981422
10,2,1,18,3,21,25,9,0,11,35,1,0,0,0,0,13159.077135494712
10,4,2,9,5,5,30,19,0,13,30,0,0,1,0,0,13917.711321924606
7,2,0,6,4,21,5,23,55,2,50,1,0,0,0,0,5269.449441513349
10,4,1,21,3,16,0,4,25,12,25,0,0,1,0,0,10472.438902304293
3,3,0,15,5,15,15,17,45,2,30,0,1,0,0,0,4789.837032602813
10,4,1,21,5,17,30,19,0,25,30,0,0,1,0,0,13783.173949314569
10,4,1,6,6,9,0,4,25,19,25,0,0,1,0,0,11516.182285015335
8,4,1,1,6,14,0,21,0,7,0,0,0,1,0,0,12556.433098958336
2,3,0,3,3,22,50,1,20,2,30,0,1,0,0,0,4879.162268105161
8,4,1,27,3,13,55,1,35,11,40,0,0,1,0,0,9380.189695616882
10,4,2,15,6,5,30,12,35,7,5,0,0,1,0,0,13737.269536435782
10,2,0,12,6,19,50,22,50,3,0,1,0,0,0,0,6765.469971478173
10,1,0,15,3,7,10,8,35,1,25,0,0,0,0,1,5565.8556608495655
1,2,0,15,6,5,55,8,35,2,40,1,0,0,0,0,3862.1172876082264
10,1,0,18,3,7,10,8,35,1,25,0,0,0,0,1,5418.971456980518
10,2,1,6,3,16,55,23,0,6,5,1,0,0,0,0,14117.536986607147
10,3,1,9,5,18,55,12,0,17,5,0,1,0,0,0,11297.706157670453
8,4,1,15,5,10,20,21,0,10,40,0,0,1,0,0,8015.03955560065
1,3,0,12,5,17,10,19,40,2,30,0,1,0,0,0,3936.2653893849238
8,4,1,15,5,13,0,1,30,12,30,0,0,1,0,0,11366.145240575397
1,1,0,9,6,22,45,0,15,1,30,0,0,0,0,1,1995.0044516594512
7,4,1,15,6,8,0,7,40,23,40,0,0,1,0,0,8572.022659857506
3,3,1,1,5,21,0,2,15,5,15,0,1,0,0,0,6761.834064884769
1,0,0,24,3,17,45,20,5,2,20,0,0,0,1,0,4430.771424851191
10,4,1,3,3,19,15,18,50,23,35,0,0,1,0,0,16750.23294394841
7,1,0,3,5,13,55,15,25,1,30,0,0,0,0,1,3554.6175801542204
10,3,1,1,4,18,55,22,35,27,40,0,1,0,0,0,8526.314133748192
8,4,1,3,6,7,30,21,0,13,30,0,0,1,0,0,9248.86250372024
7,3,2,12,5,9,25,13,45,28,20,0,1,0,0,0,12757.169466878606
10,3,1,1,4,14,5,19,50,5,45,0,1,0,0,0,12565.043711557537
10,3,1,24,3,13,55,16,20,26,25,0,1,0,0,0,11576.203278769846
10,2,1,18,3,5,45,11,25,5,40,1,0,0,0,0,11520.500281948956
1,0,0,18,6,9,45,12,0,2,15,0,0,0,1,0,3569.9305052586324
10,2,0,15,4,15,15,18,10,2,55,1,0,0,0,0,6000.945146390073
3,4,1,18,5,2,0,7,45,5,45,0,0,1,0,0,6264.275421739718
10,2,1,21,3,11,40,19,10,7,30,1,0,0,0,0,9366.103049355157
3,4,1,9,6,6,50,12,10,5,20,0,0,1,0,0,5568.355443948412
5,3,1,6,5,17,0,18,50,25,50,0,1,0,0,0,8880.305575396826
8,4,1,12,6,6,0,19,15,13,15,0,0,1,0,0,9611.530704590547
7,4,2,9,3,7,5,9,25,26,20,0,0,1,0,0,10629.557916666676
3,4,1,3,4,2,0,7,45,5,45,0,0,1,0,0,6024.303354414681
2,4,1,27,6,16,45,22,25,5,40,0,0,1,0,0,7104.868357571245
6,2,0,24,3,19,40,22,20,2,40,1,0,0,0,0,7318.658230406744
3,2,0,9,5,13,0,15,50,2,50,1,0,0,0,0,4391.016292275434
3,4,1,6,6,2,0,7,25,5,25,0,0,1,0,0,5800.667815882037
8,4,1,15,6,3,50,12,35,8,45,0,0,1,0,0,11009.395944940477
3,2,0,12,6,21,15,0,15,3,0,1,0,0,0,0,4027.380182291667
10,4,1,21,3,11,30,18,50,7,20,0,0,1,0,0,11578.772169800679
3,1,0,18,6,12,0,13,30,1,30,0,0,0,0,1,2837.8379489087297
10,4,1,18,5,21,50,19,0,21,10,0,0,1,0,0,14550.699899553558
7,3,3,1,4,5,50,21,50,16,0,0,1,0,0,0,11150.700837617243
2,4,1,15,5,7,55,15,45,7,50,0,0,1,0,0,6742.052335407648
3,1,0,18,5,9,10,10,40,1,30,0,0,0,0,1,4331.257375992065
10,2,0,21,5,8,20,11,20,3,0,1,0,0,0,0,6457.900606398808
1,2,0,21,6,9,30,12,20,2,50,1,0,0,0,0,3612.4140969967557
7,3,2,1,5,10,0,5,25,19,25,0,1,0,0,0,13733.753013392856
5,4,0,3,3,14,55,17,50,2,55,0,0,1,0,0,7677.842276785716
10,3,1,18,5,20,0,10,5,14,5,0,1,0,0,0,10987.828773561507
3,2,0,24,6,22,10,1,0,2,50,1,0,0,0,0,3585.459521329366
5,3,1,9,6,17,0,9,5,16,5,0,1,0,0,0,8460.256607706531
4,4,1,18,5,7,0,12,55,5,55,0,0,1,0,0,6479.809601258121
2,3,0,21,4,19,55,22,25,2,30,0,1,0,0,0,4385.9214398448785
8,4,1,9,5,15,15,1,30,10,15,0,0,1,0,0,8967.685397163605
8,4,1,15,5,11,40,1,30,13,50,0,0,1,0,0,7815.6087388392825
1,0,0,21,3,8,20,10,35,2,15,0,0,0,1,0,3688.301718411796
10,4,1,15,6,7,5,19,0,11,55,0,0,1,0,0,13574.696041553936
1,3,0,18,4,17,10,19,40,2,30,0,1,0,0,0,4145.067084573415
10,3,1,9,5,18,55,8,15,13,20,0,1,0,0,0,11068.206467013879
10,3,1,18,5,14,5,8,15,18,10,0,1,0,0,0,12527.590092329545
10,3,1,18,5,14,5,18,15,28,10,0,1,0,0,0,10748.627261141632
3,4,1,24,6,16,0,21,0,5,0,0,0,1,0,0,6008.851438266596
7,4,1,1,6,20,0,19,15,23,15,0,0,1,0,0,8874.300404265872
7,1,0,27,6,19,30,20,45,1,15,0,0,0,0,1,3227.007421875
7,1,0,15,5,6,20,7,40,1,20,0,0,0,0,1,3131.544427083333
10,4,1,15,6,15,0,4,25,13,25,0,0,1,0,0,10713.1284734623
8,4,1,24,6,13,0,19,15,6,15,0,0,1,0,0,14220.788913690485
1,1,0,24,3,5,45,7,5,1,20,0,0,0,0,1,2893.0721444354253
7,3,2,9,5,8,20,18,30,10,10,0,1,0,0,0,11174.454303075398
3,4,1,6,3,5,35,10,10,4,35,0,0,1,0,0,9843.808258815834
8,4,1,21,5,10,0,21,0,11,0,0,0,1,0,0,9680.121264655481
8,4,1,9,3,17,45,1,35,7,50,0,0,1,0,0,12994.958886746934
8,4,1,9,5,6,40,19,0,12,20,0,0,1,0,0,9915.901434771822
1,3,0,15,3,17,15,19,45,2,30,0,1,0,0,0,4334.348717983408
10,3,1,12,6,18,55,10,5,15,10,0,1,0,0,0,10432.062275545632
3,1,0,9,5,21,20,22,50,1,30,0,0,0,0,1,2353.8697767857147
10,2,1,6,3,5,45,0,45,19,0,1,0,0,0,0,13828.459695842354
3,4,2,9,3,7,35,21,20,13,45,0,0,1,0,0,7764.113376736108
8,4,1,18,5,6,40,19,0,12,20,0,0,1,0,0,9619.716993934886
8,4,1,6,3,9,0,18,50,9,50,0,0,1,0,0,15712.52196484938
8,4,1,6,3,11,30,1,35,14,5,0,0,1,0,0,14966.297449070025
1,3,0,9,6,6,55,9,30,2,35,0,1,0,0,0,3852.507705627705
3,3,1,6,6,17,35,22,15,4,40,0,1,0,0,0,5895.7828502747225
1,3,1,9,5,11,15,18,30,7,15,0,1,0,0,0,9687.549193159266
7,4,2,15,5,20,15,19,15,23,0,0,0,1,0,0,13356.896860795454
10,2,1,18,3,8,0,18,25,10,25,1,0,0,0,0,11212.655618418039
3,4,1,15,4,20,25,1,30,5,5,0,0,1,0,0,5632.74060617334
10,4,2,6,3,5,40,4,25,22,45,0,0,1,0,0,16296.777752299779
8,4,1,9,4,10,20,19,0,8,40,0,0,1,0,0,9197.307746663057
7,3,2,18,5,16,45,20,25,27,40,0,1,0,0,0,11827.686392947324
10,2,1,12,3,22,55,10,25,11,30,1,0,0,0,0,13009.387770788238
3,3,0,15,5,11,30,14,5,2,35,0,1,0,0,0,5005.249403070888
10,2,0,9,5,6,0,8,45,2,45,1,0,0,0,0,5521.212183328827
1,3,1,9,6,15,5,20,20,5,15,0,1,0,0,0,5036.405313627349
10,4,1,9,5,20,55,12,35,15,40,0,0,1,0,0,12377.478988207975
3,3,0,9,5,14,25,16,55,2,30,0,1,0,0,0,5273.287310267859
5,2,0,1,4,17,0,19,35,2,35,1,0,0,0,0,5473.799269029581
3,4,1,18,5,6,50,16,10,9,20,0,0,1,0,0,6539.313622271825
3,2,0,3,5,13,0,15,50,2,50,1,0,0,0,0,4745.562596951658
10,4,1,6,3,19,45,4,25,8,40,0,0,1,0,0,14892.920731646827
3,4,1,27,6,6,50,12,10,5,20,0,0,1,0,0,5491.287599770023
3,4,1,6,5,21,50,3,35,5,45,0,0,1,0,0,6900.6534512536045
3,3,0,24,5,15,15,17,45,2,30,0,1,0,0,0,4842.290726799241
7,2,0,1,4,10,0,12,45,2,45,1,0,0,0,0,5941.792654389884
10,3,1,12,5,8,25,16,20,7,55,0,1,0,0,0,13141.328892609134
7,3,2,1,4,10,0,5,25,19,25,0,1,0,0,0,12401.62655415765
1,2,0,18,6,9,30,12,20,2,50,1,0,0,0,0,3756.5682379599602
5,2,0,21,4,19,30,22,15,2,45,1,0,0,0,0,5548.184109172079
